Date Started,Date Read,Title,Author,Additional Authors
2019-01-01,2019-01-12,O coração é um caçado solitário,Carson McCullers,
2019-01-04,2019-02-10,Patterns of Enterprise Application Architecture,Martin Fowler,
2019-01-05,2019-01-07,Feeding the dragon,Sharon Washington,
2019-01-10,2019-01-25,The Toyota way to lean leadership,Jeffrey K. Liker,Gary L. Convis
2019-01-21,2019-01-30,A vendedora de livros,Cynthia Swanson,
2019-02-04,2019-02-13,As últimas testemunhas,Svetlana Aleksiévitch,
2019-02-19,2019-02-23,Spice & Wolf Vol. 13,Isuna Hasekura,
2019-02-25,2019-03-06,Spice & Wolf Vol. 14,Isuna Hasekura,
2019-03-05,2019-03-20,An Anthropologist on Mars,Oliver Sacks,
2019-03-18,2019-03-28,Southernmost,Silas House,
2019-04-01,2019-04-08,Voragem,Junichiro Tanizaki,
2019-04-09,2019-04-24,Todas as cores do céu,Amita Trasi,
2019-04-10,2019-06-23,Designing Data Intensive Applications,Martin Kleppmann,
2019-04-20,2019-04-21,A mind of her own,Paula McLain,
2019-04-25,2019-05-01,The joy of less,Francine Jay,
2019-05-02,2019-05-16,The underground railroad,Colson Whitehead,
2019-05-18,2019-05-23,The complete book of five rings,Miyamoto Musashi,
2019-05-20,2019-06-03,Eu sei porque o pássaro canta na gaiola,Maya Angelou,
2019-05-26,2019-05-28,The Tao of Pooh,Benjamin Hoff,
2019-06-08,2019-06-11,The mom test,Rob Fitzpatrick,
2019-06-20,2019-06-22,Thinking in bets,Annie Duke,
2019-06-24,2019-06-30,A philosophy of software design,John Ousterhout,
2019-07-01,2019-07-09,Spice & Wolf Vol. 15,Isuna Hasekura,
2019-07-10,2019-07-16,Games people play,Eric Berne,
2019-07-18,2019-07-30,Spice & Wolf Vol. 16,Isuna Hasekura,
2019-07-22,2019-08-23,The book of why,Judea Pearl,Dana Mackenzie
2019-08-01,2019-08-10,Programming Typescript,Boris Cherny,
2019-08-11,2019-08-18,Test-Driven React,Trevor Burnham,
2019-08-15,2019-08-21,A filha do rei do pântano,Karen Dionne,
2019-08-23,2019-09-04,Nada,Carmen Laforet,
2019-09-06,2019-09-08,O sentido de um fim,Julian Barnes,
2019-09-11,2019-09-18,O sonho dos heróis,Adolfo Bioy Casares,
2019-09-23,2019-09-23,Evil eye,Madhuri Shekar,
2019-09-24,2019-10-08,How to live: or a life of Montaigne in one question and twenty attempts at an answer,Sarah Bakewell,
2019-10-09,2019-10-23,Memórias de Adriano,Marguerite Yourcenar,
2019-10-24,2019-10-28,Carnival Row: Tangle in the Dark,Stephanie K. Smith,
2019-10-25,2019-10-31,Intéprete de males,Jhumpa Lahiri,
2019-11-05,2019-11-06,the way she spoke,Isaac Gomez,
2019-11-07,2019-11-14,Ego is the enemy,Ryan Holiday,
2019-11-09,2019-11-20,Todos nós adorávamos caubóis,Carol Bensimon,
2019-11-15,2019-11-16,Carmilla,J. Sheridan Le Fanu,
2019-11-20,2019-11-27,A confederacy of dunces,John Kennedy Toole,
2019-11-28,2019-12-04,Cognitive Behavioral Therapy: Techniques for retraining your brain,Jason M. Satterfield,
2019-12-05,2019-12-05,The dispatcher,John Scalzi,
2019-12-06,2019-12-07,The demon next door,Bryan Burrough,
2019-12-08,2019-12-08,O perigo de uma história única,Chimamanda Ngozi Adichie,
2019-12-09,2019-12-10,Man's search for meaning,Viktor E. Frankl,
2019-12-13,2019-12-29,Creativity Inc.,Ed Catmull,Amy Wallace
