Date Started,Date Read,Title,Author,Additional Authors
2014-01-01,2014-01-09,The Healthy Programmer,Joe Kutner,
2014-01-01,2014-01-03,"The Melancholy of Haruhi Suzumiya (Haruhi Suzumiya, #1)",Nagaru Tanigawa,"Noizi Ito, Chris Pai"
2014-01-04,2014-01-18,"The Sigh of Haruhi Suzumiya (Haruhi Suzumiya, #2)",Nagaru Tanigawa,"Noizi Ito, Chris Pai"
2014-01-10,2014-01-12,"Node.Js the Right Way: Practical, Server-Side JavaScript That Scales",Jim R. Wilson,
2014-01-13,2014-01-16,The Retrospective Handbook: A guide for agile teams,Patrick Kua,
2014-01-17,2014-01-26,Understanding Computation: From Simple Machines to Impossible Programs,Tom Stuart,
2014-01-19,,Networks: An Introduction,Mark Newman,
2014-01-25,2014-03-30,"Cooking for Geeks: Real Science, Great Hacks, and Good Food",Jeff Potter,
2014-02-01,2014-02-06,Practical Vim: Edit Text at the Speed of Thought,Drew Neil,
2014-02-07,2014-02-08,Effective Akka,Jamie Allen,
2014-02-11,2014-02-20,Machine of Death: A Collection of Stories about People Who Know How They Will Die,Ryan North,"Matthew Bennardo, David Malki"
2014-02-26,2014-02-28,101 Design Ingredients to Solve Big Tech Problems,Eewei Chen,
2014-03-13,2014-03-24,Feedback Control for Computer Systems,Philipp K. Janert,
2014-03-25,2014-04-03,"Little Brother (Little Brother, #1)",Cory Doctorow,
2014-04-05,2014-04-30,WiX 3.6: A Developer's Guide to Windows Installer XML,Nick Ramirez,
2014-04-07,2014-04-25,Pirate Cinema,Cory Doctorow,
2014-04-30,2014-07-28,The Insider's Guide to Technical Writing,Krista Van Laan,JoAnn T. Hackos
2014-05-11,2014-05-17,Zoo City,Lauren Beukes,
2014-05-19,2014-06-17,SQL and Relational Theory: How to Write Accurate SQL Code,C.J. Date,
2014-06-16,2014-07-25,"Just a Geek: Unflinchingly Honest Tales of the Search for Life, Love, and Fulfillment Beyond the Starship Enterprise",Wil Wheaton,
2014-06-17,2014-07-15,"Boneshaker (The Clockwork Century, #1)",Cherie Priest,
2014-07-31,2014-08-02,Working with UNIX Processes,Jesse Storimer,
2014-08-03,2014-08-07,"The Boredom of Haruhi Suzumiya (Haruhi Suzumiya, #3)",Nagaru Tanigawa,Noizi Ito
2014-08-09,2014-08-10,"The Disappearance of Haruhi Suzumiya (Haruhi Suzumiya, #4)",Nagaru Tanigawa,Noizi Ito
2014-08-12,2014-08-23,"The Rampage of Haruhi Suzumiya (Haruhi Suzumiya, #5)",Nagaru Tanigawa,"Noizi Ito, Chris Pai"
2014-08-24,2014-09-07,Test Driven Development: By Example,Kent Beck,
2014-09-02,2014-10-02,"The Wavering of Haruhi Suzumiya (Haruhi Suzumiya, #6)",Nagaru Tanigawa,
2014-09-03,2014-09-09,Apprenticeship Patterns: Guidance for the Aspiring Software Craftsman,Dave Hoover,Adewale Oshineye
2014-09-11,2014-09-17,Nicely Said: Writing for the Web with Style and Purpose,Nicole Fenton,Kate Kiefer Lee
2014-09-17,2014-10-05,21st Century C: C Tips from the New School,Ben Klemens,
2014-10-04,2014-11-17,"The Intrigues of Haruhi Suzumiya (Haruhi Suzumiya, #7)",Nagaru Tanigawa,
2014-10-04,2014-10-16,"Modern C++ Programming with Test-Driven Development: Code Better, Sleep Better",Jeff Langr,
2014-10-09,2014-10-27,"Lightspeed Magazine, June 2014: Women Destroy Science Fiction! Special Issue",Christie Yant,"Seanan McGuire,Kris Millering,Heather Clitheroe,N.K. Jemisin,Rhonda Eikamp,Gabriella Stalker,Charlie Jane Anders,Maria Dahvana Headley,Amal El-Mohtar,Elizabeth Porter Birdsall,K.C. Norton,Rachel Swirsky,Tananarive Due,Alice Sheldon,Maria Romasco-Moore,Eleanor Arnason,Maureen F. McHugh,Robyn Lupo,Carrie Vaughn,Emily Fox,Tina Connolly,Marina L. Lostetter,Sarah Pinsker,Vanessa Torline,Anaid Perez,Ellen Denham,Kim Winternheimer,Holly Schofield,Cathy Humble,Effie Seiberg,Katherine Crighton,Wendy N. Wagner,Galen Dara,Pat Murphy,Mary Robinette Kowal,Jennifer Willis,Stina Leicht,Tracie Welser,Nisi Shawl,Rhiannon Rasmussen-Silverstein,Samantha Murray"
2014-10-28,2014-10-30,Introduction to R for Quantitative Finance,Gergely Daroczi,"Michael Puhle, Edina Berlinger, Peter Csoka, Daniel Havran, Márton Michaletzky, Zsolt Tulassay, Kata Váradi, Agnes Vidovics-Dancs"
2014-10-30,2014-10-31,The Mature Optimization Handbook,Carlos Bueno,
2014-11-05,2014-11-20,"Spin (Spin, #1)",Robert Charles Wilson,
2014-11-20,2014-11-29,"The Indignation of Haruhi Suzumiya (Haruhi Suzumiya, #8)",Nagaru Tanigawa,"Noizi Ito, Chris Pai"
2014-11-26,2014-11-28,"Wakulla Springs",Andy Duncan,Ellen Klages
2014-11-30,2014-12-05,"The Dissociation of Haruhi Suzumiya (Haruhi Suzumiya, #9)",Nagaru Tanigawa,
